locationID,Borough,Zone,service_zone,avg,max,count
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,0.1989922806110329,59.59,454.0
40,Brooklyn,Carroll Gardens,Boro Zone,0.1941895153191598,68.0,6895.0
52,Brooklyn,Cobble Hill,Boro Zone,0.1940036438495354,24.95,5706.0
112,Brooklyn,Greenpoint,Boro Zone,0.1923544215526887,25.0,9584.0
54,Brooklyn,Columbia Street,Boro Zone,0.1922190179010643,21.69,1362.0
138,Queens,LaGuardia Airport,Airports,0.1916325834903768,171.2,159105.0
181,Brooklyn,Park Slope,Boro Zone,0.1908950291728586,66.5,14923.0
223,Queens,Steinway,Boro Zone,0.1906602608848575,55.0,8808.0
33,Brooklyn,Brooklyn Heights,Boro Zone,0.1890476166811446,44.0,16123.0
7,Queens,Astoria,Boro Zone,0.1880388817891611,110.0,17396.0
257,Brooklyn,Windsor Terrace,Boro Zone,0.1870670387759496,55.0,2465.0
202,Manhattan,Roosevelt Island,Boro Zone,0.1867695119796518,25.0,1790.0
189,Brooklyn,Prospect Heights,Boro Zone,0.1865539741332415,40.0,4181.0
255,Brooklyn,Williamsburg (North Side),Boro Zone,0.1864948615500503,100.0,13758.0
145,Queens,Long Island City/Hunters Point,Boro Zone,0.185605517310081,60.0,13766.0
256,Brooklyn,Williamsburg (South Side),Boro Zone,0.185593670247322,236.05,9264.0
260,Queens,Woodside,Boro Zone,0.1852897889620288,50.0,5742.0
230,Manhattan,Times Sq/Theatre District,Yellow Zone,0.1852687220918475,100.58,85457.0
43,Manhattan,Central Park,Yellow Zone,0.1847515741370395,121.5,45648.0
80,Brooklyn,East Williamsburg,Boro Zone,0.1845784290014082,78.83,7260.0
125,Manhattan,Hudson Sq,Yellow Zone,0.1845754593750445,111.11,21640.0
190,Brooklyn,Prospect Park,Boro Zone,0.1845663499398593,21.35,761.0
24,Manhattan,Bloomingdale,Yellow Zone,0.1840610313825348,40.0,16143.0
179,Queens,Old Astoria,Boro Zone,0.1839370548658565,25.28,6262.0
239,Manhattan,Upper West Side South,Yellow Zone,0.1839026839951759,87.5,105758.0
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,0.1838137051604821,265.74,77642.0
162,Manhattan,Midtown East,Yellow Zone,0.183782300643411,254.95,109646.0
163,Manhattan,Midtown North,Yellow Zone,0.1836493283205952,250.5,63118.0
249,Manhattan,West Village,Yellow Zone,0.1835687153669652,124.11,69144.0
142,Manhattan,Lincoln Square East,Yellow Zone,0.1833500428577821,66.42,97945.0
113,Manhattan,Greenwich Village North,Yellow Zone,0.1828089704695679,99.99,45567.0
8,Queens,Astoria Park,Boro Zone,0.1828066450148661,15.0,117.0
151,Manhattan,Manhattan Valley,Yellow Zone,0.1826358322471084,124.11,41576.0
161,Manhattan,Midtown Center,Yellow Zone,0.1825326307147455,62.0,95315.0
166,Manhattan,Morningside Heights,Boro Zone,0.1824848201316463,80.0,35023.0
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,0.1822669395609412,80.7,9644.0
90,Manhattan,Flatiron,Yellow Zone,0.1821982582856353,101.11,58724.0
238,Manhattan,Upper West Side North,Yellow Zone,0.1820373124848849,81.0,92326.0
106,Brooklyn,Gowanus,Boro Zone,0.1819221879045707,20.79,2295.0
25,Brooklyn,Boerum Hill,Boro Zone,0.1817547896263139,100.0,10518.0
237,Manhattan,Upper East Side South,Yellow Zone,0.1815112901091481,83.46,106774.0
48,Manhattan,Clinton East,Yellow Zone,0.1812520565247743,148.08,97274.0
234,Manhattan,Union Sq,Yellow Zone,0.1808932595598419,100.0,83031.0
114,Manhattan,Greenwich Village South,Yellow Zone,0.1808905783643848,101.11,39600.0
100,Manhattan,Garment District,Yellow Zone,0.1806751933284482,100.0,41642.0
164,Manhattan,Midtown South,Yellow Zone,0.1805797124583973,250.5,61443.0
236,Manhattan,Upper East Side North,Yellow Zone,0.1803975866159737,66.42,134585.0
211,Manhattan,SoHo,Yellow Zone,0.1802250245916593,110.0,24166.0
170,Manhattan,Murray Hill,Yellow Zone,0.1801890565122854,55.0,99652.0
146,Queens,Long Island City/Queens Plaza,Boro Zone,0.1801527955171894,42.27,6606.0
158,Manhattan,Meatpacking/West Village West,Yellow Zone,0.1800735602178368,51.27,38344.0
261,Manhattan,World Trade Center,Yellow Zone,0.180002039556108,82.17,24803.0
68,Manhattan,East Chelsea,Yellow Zone,0.1798781989604037,80.0,76332.0
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,0.1798559993806665,90.0,72506.0
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,0.1796143831790832,80.0,12522.0
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,0.1793249541671935,64.72,11952.0
141,Manhattan,Lenox Hill West,Yellow Zone,0.1790147256937588,100.0,98646.0
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,0.1788107890695816,68.69,28830.0
226,Queens,Sunnyside,Boro Zone,0.1788076545148224,50.0,8844.0
263,Manhattan,Yorkville West,Yellow Zone,0.1784844559449908,100.29,97086.0
143,Manhattan,Lincoln Square West,Yellow Zone,0.1784527149063918,30.71,45186.0
262,Manhattan,Yorkville East,Yellow Zone,0.1780877086386628,81.0,55695.0
233,Manhattan,UN/Turtle Bay South,Yellow Zone,0.1779965613245469,100.0,58183.0
107,Manhattan,Gramercy,Yellow Zone,0.1778876729335949,38.58,80323.0
50,Manhattan,Clinton West,Yellow Zone,0.1777724780587957,70.0,36390.0
79,Manhattan,East Village,Yellow Zone,0.1777680349288686,100.29,94801.0
